patch_url,download_link,mission_name,description
https://www.nasa.gov/image-detail/amf-s70-17851/,https://images-assets.nasa.gov/image/S70-17851/S70-17851~large.jpg?w=1920&h=1536&fit=clip&crop=faces%2Cfocalpoint,Apollo 14 Emblem,"S70-17851 (September 1970) --- This is the Apollo 14 crew patch designed by astronauts Alan B. Shepard Jr., commander; Stuart A. Roosa, command module pilot; and Edgar D. Mitchell, lunar module pilot. It features the astronaut lapel pin approaching the moon and leaving a comet trail from the liftoff point on Earth. The pin design was adopted by the astronaut corps several years ago. Astronauts who have not yet flown in space wear silver pins. Those who have flown wear gold pins. The NASA insignia design for Apollo flights is reserved for use by the astronauts and for other official use as the NASA Administrator may authorize. Public availability has been approved only in the form of illustrations by the various news media. When and if there is any change in this policy, which we do not anticipate, it will be publicly announced."
https://www.nasa.gov/image-detail/amf-s71-30463/,https://images-assets.nasa.gov/image/S71-30463/S71-30463~large.jpg?w=1920&h=1857&fit=clip&crop=faces%2Cfocalpoint,Apollo 15 insignia,"S71-30463 (May 1971) --- This is the insignia designed for the Apollo 15 lunar landing mission. The circular design features the colors red, white and blue. On the outer portion of the patch a narrow band of blue and a narrow band of red encircle a wider band of white. The large disc in the center of the emblem has red, white and blue symbols of flight, superimposed over an artist's concept of the Apollo 15 Hadley-Apennine landing site of gray tone. The surnames of the three names are centered in the white band at the bottom of the insignia. The Apollo 15 prime crew men are David R. Scott, commander; Alfred M. Worden, command module pilot; and James B. Irwin, lunar module pilot.     This is the official Apollo 15 emblem, property of the government of the United States. It has been authorized only for use by the astronauts. Its production in any form other than in news, information and education media is not authorized without approval. Unauthorized use of the photograph is subject to the provisions of Title 18, U.S. Code, Section 701."
https://www.nasa.gov/image-detail/amf-s71-56246/,https://images-assets.nasa.gov/image/S71-56246/S71-56246~large.jpg?w=1920&h=1920&fit=clip&crop=faces%2Cfocalpoint,Apollo 16 insignia,"S71-56246 (November 1971) --- The Apollo 16 crew patch is dominated by an eagle perched atop a red, white and blue shield a superimposed on a lunar scene, surrounded by a blue circle of 16 stars with the crew's surnames completing the bottom are of the circle. Across the face of the shield is a gold symbol of flight outlined in blue, similar to that on the National Aeronautics and Space Administration (NASA) agency seal and insignia. The design was created by a NASA artist from ideas submitted by the three crew men: astronauts John W. Young, commander; Thomas K. Mattingly II, command module pilot; and Charles M. Duke Jr., lunar module pilot. This is the official Apollo 16 emblem, a property of the government of the United States. It has been authorized only for use by the astronauts. Its reproduction in any form other than in news, information and education media is not authorized without approval. Unauthorized use is subject to the provisions of Title 18, U.S. Code, Section 701."
https://www.nasa.gov/image-detail/amf-s72-49079-v2/,https://images-assets.nasa.gov/image/s72-49079/s72-49079~large.jpg?w=1920&h=1920&fit=clip&crop=faces%2Cfocalpoint,Emblem – Apollo 17 Lunar Landing Mission,"S72-49079 (8 Sept. 1972) --- This is the official emblem of the Apollo 17 lunar landing mission which will be flown by astronauts Eugene A. Cernan, Ronald E. Evans and Harrison H. Schmitt. The insignia is dominated by the image of Apollo, the Greek sun god. Suspended in space behind the head of Apollo is an American eagle of contemporary design, the red bars of the eagle's wing represent the bars in the United States flag; the three white stars symbolize the three astronaut crewmen. The background is deep blue space and within it are the moon, the planet Saturn and a spiral galaxy or nebula. The moon is partially overlaid by the eagle's wing suggesting that this is a celestial body that man has visited and in that sense conquered. The thrust of the eagle and the gaze of Apollo to the right and toward Saturn and the galaxy is meant to imply that man's goals in space will someday include the planets and perhaps the stars. The colors of the emblem are red, white and blue, the colors of our flag; with the addition of gold, to symbolize the golden age of space flight that will begin with this Apollo 17 lunar landing. The Apollo image used in this emblem was the famous Apollo of Belvedere sculpture now in the Vatican Gallery in Rome. This emblem was designed by artist Robert T. McCall in collaboration with the astronauts.     This is the official Apollo 17 emblem, a property of the government of the United States. It has been authorized only for use by the astronauts. Its reproduction in any form other than in news, information and education media is not authorized without approval. Unauthorized use is subject to the provisions of Title 18, U.S. Code, Section 701."
https://www.nasa.gov/image-detail/amf-s73-23952/,https://images-assets.nasa.gov/image/S73-23952/S73-23952~large.jpg?w=1920&h=1916&fit=clip&crop=faces%2Cfocalpoint,Emblem – NASA Skylab (SL) Program,"S73-23952 (May 1973) --- This is the official emblem for the National Aeronautics and Space Administration's (NASA) Skylab Program. The emblem depicts the United States Skylab space station cluster in Earth orbit with the sun in the background. Skylab will evaluate systems and techniques designed to gather information on Earth resources and environmental problems. Solar telescopes will increase man's knowledge of our sun and the multitude of solar influences on Earth environment. Medical experiments will increase knowledge of man himself and his relationship to his earthly environment and adaptability to spaceflight. Additionally, Skylab will experiment with industrial processes which may be enhanced by the unique weightless, vacuum environment of orbital spaceflight. The 100-ton laboratory complex Skylab space station is composed of the Command/Service Module (CSM), Orbital Workshop (OW), Apollo Telescope Mount (ATM), Multiple Docking Adapter (MDA), and Airlock Module (AM).     The NASA insignia design for Skylab is reserved for use by the astronauts and for other official use as the NASA Administrator may authorize. Public availability has been approved only in the form of illustrations by the various news media. When and if there is any change in this policy, which we do not anticipate, it will be publicly announced.  Photo credit: NASA"
https://www.nasa.gov/image-detail/amf-s72-52630/,https://images-assets.nasa.gov/image/S72-52630/S72-52630~large.jpg?w=1920&h=1920&fit=clip&crop=faces%2Cfocalpoint,Emblem – First (1st) Manned Skylab (SL) Mission,"S72-52630 (February 1972) --- This is the emblem for the first manned Skylab mission.  It will be a mission of up to 28 days. Skylab is an experimental space station consisting of a 100-ton laboratory complex in which medical, scientific and technological experiments will be performed in Earth orbit. The prime crew of this mission will be astronaut Charles Conrad Jr., commander; scientist-astronaut Joseph P. Kerwin, science pilot; and astronaut Paul J. Weits, pilot. The patch, designed by artist Kelly Freas, shows the Skylab silhouetted against the Earth's globe, which in turn is eclipsing the sun--showing the brilliant signet-ring pattern of the instant before the total eclipse. Photo credit: NASA"
https://www.nasa.gov/image-detail/skylab_3_launch_4_crew_patch_s72-51123/,https://www.nasa.gov/wp-content/uploads/2023/07/skylab_3_launch_4_crew_patch_s72-51123.jpg,Skylab 3 Crew Insignia,"Launch- July 28, 1973 
Landing- September 25, 1973
Astronauts: Alan L. Bean, Jack R. Lousma, and Owen K. Garriott
Skylab 3 (the second crewed mission of the Skylab program) continued maintenance of the space station, and extensive scientific and medical experiments. The mission also had three space walks and doubled the previous length of time in space."
https://www.nasa.gov/image-detail/skylab_l-2_months_13_s72-53094/,https://www.nasa.gov/wp-content/uploads/2023/03/skylab_l-2_months_13_s72-53094.jpg,Skylab 4 insignia,"This is the emblem for the third manned Skylab mission. It will be a mission of up to 56 days. Skylab is an experimental space station consisting of a 100-ton laboratory complex in which medical, scientific and technological experiments will be performed in Earth orbit. The members of the crew will be astronaut Gerald P. Carr, commander; scientist-astronaut Edward G. Gibson, science pilot; and astronaut William R. Pogue, pilot. The symbols in the patch refer to the three major areas of investigation proposed in the mission. The tree represents man's natural environment and relates directly to the Skylab mission objectives of advancing the study of Earth resources. The hydrogen atom, as the basic building block of the universe, represents man's exploration of the physical world, his application of knowledge, and his development of technology. Since the sun is composed primarily of hydrogen, it is appropriate that the symbol refers to the solar physics mission objectives. The human silhouette represents mankind and the human capacity to direct technology with a wisdom tempered by regard for his natural environment. It also directly relates to the Skylab medical studies of man himself. The rainbow, adopted from the Biblical story of the flood, symbolizes the promise that is offered man. It embraces man and extends to the tree and the hydrogen atom emphasizing man's pivotal role in the conciliation of technology with nature."
https://www.nasa.gov/image-detail/amf-s74-17843/,https://images-assets.nasa.gov/image/S74-17843/S74-17843~large.jpg?w=1920&h=1920&fit=clip&crop=faces%2Cfocalpoint,OFFICIAL EMBLEM – APOLLO-SOYUZ TEST PROJECT (ASTP),"S74-17843 (March 1974) --- This is the official emblem of the Apollo-Soyuz Test Project chosen by NASA and the Soviet Academy of Sciences. The joint U.S.-USSR space mission is scheduled to be flown in July 1975. Of circular design, the emblem has the words Apollo in English and Soyuz in Russian around a center disc which depicts the two spacecraft docked together in Earth orbit. The Apollo-Soyuz Test Project will be carried out by a Soviet Soyuz spacecraft and a U.S. Apollo spacecraft which will rendezvous and dock in orbit. Soyuz and Apollo will remain docked for as long as two days in which period, the three Apollo astronauts will enter Soyuz and the two Soyuz cosmonauts will visit Apollo via a docking module. The Russian word ""soyuz"" means ""union"" in English."
https://www.nasa.gov/image-detail/amf-s75-20361/,https://images-assets.nasa.gov/image/s75-20361/s75-20361~large.jpg?w=1920&h=1748&fit=clip&crop=faces%2Cfocalpoint,ASTP –  INSIGNIAS,"S75-20361 (27 Feb. 1975) --- This is the American crew insignia of the joint United States-USSR Apollo-Soyuz Test Project (ASTP) scheduled to take place in July 1975.  Of circular design, the insignia has a colorful border area, outlined in red, with the names of the five crew members and the words Apollo in English and Soyuz in Russian around an artist?s concept of the Apollo and Soyuz spacecraft about to dock in Earth orbit. The bright sun and the blue and white Earth are in the background. The white stars on the blue background represent American astronauts Thomas P. Stafford, commander; Vance D. Brand, command module pilot; and Donald (Deke) K. Slayton, docking module pilot. The dark gold stars on the red background represent Soviet cosmonauts Aleksey A. Leonov, commander, and Valeriy N. Kubasov, engineer. Soyuz and Apollo will be launched separately from the USSR and United States, and will dock and remain together for as long as two days. The three Apollo astronauts will enter Soyuz and the two Soviet cosmonauts will visit the Apollo spacecraft via a docking module.  The Russian word ?soyuz? means ?union? in English."
https://www.nasa.gov/image-detail/sts-1-2/,https://www.nasa.gov/wp-content/uploads/2023/09/sts-1.jpeg,STS-1 Crew Insignia,STS-1 demonstrated and tested the safe launch and return of a reusable space craft. A total of sixteen thermal protection system tiles were lost and 148 tiles were damaged during the mission. Most of the tile damage came from overpressure wave created by the solid rocket boosters. Modifications to the water sound suppression system for later missions eliminated the problem.
https://www.nasa.gov/image-detail/sts-2-2/,https://www.nasa.gov/wp-content/uploads/2023/09/sts-2.jpeg,STS-2 Crew Insignia,"STS-2 preformed several experiments and completed nearly 90% of mission objectives even though the flight was cut two days short due to the failure of one of the three fuel cells. The water sound suppression modifications worked great, no tiles were lost and only 12 were damaged."
https://www.nasa.gov/image-detail/amf-s82-26315-v2/,https://images-assets.nasa.gov/image/s82-26315/s82-26315~large.jpg?w=1920&h=1837&fit=clip&crop=faces%2Cfocalpoint,Official STS-3 Crew Insignia,"S82-26315 (4 Feb. 1982) --- This is the insignia for NASA's third flight (STS-3) of the Space Transportation System's (STS) Columbia, depicted in the middle of the blue sphere against the background of the sun. The Columbia's tail, nose, and top will each be pointed at the sun for long periods to test its thermal response to extremes of temperatures. The three prominent rays represent the third STS flight. The surnames of astronauts Jack R. Lousma, commander, and C. Gordon Fullerton, pilot, flank the vehicle, and the name Columbia appears at the bottom. The spacecraft's payload bay doors are open, and the Remote Manipulator System (RMS) arm with an experimental payload is extended as it will be on several occasions during the actual flight, scheduled for spring of this year. The artwork was accomplished by space artist Robert C. McCall of Paradise Valley, Arizona.     The NASA insignia design for space shuttle flights is reserved for use by the astronauts and for other official use as the NASA Administrator may authorize. Public availability has been approved only in the forms of illustrations by the various news media. When and if there is any change in this policy, which is not anticipated, the change will be publicly announced. Photo credit: NASA"
https://www.nasa.gov/image-detail/amf-s82-29695/,https://images-assets.nasa.gov/image/S82-29695/S82-29695~large.jpg?w=1920&h=1106&fit=clip&crop=faces%2Cfocalpoint,Official STS-4 Crew _Patch,"S82-29695 (April 1982) --- This oval shaped artwork is the insignia for the fourth Space Transportation System (STS-4) flight in the National Aeronautics and Space Administration's (NASA) space shuttle Columbia. The Columbia, with its crew of astronauts Thomas K. Mattingly II, and Henry W. Hartsfield Jr. aboard, will launch from the Kennedy Space Center (KSC), and orbit Earth for approximately one week in summer of 1982. The insignia shows the Columbia trailing our nation's colors in the shape of her flight number, representing the fourth and final flight of the highly successful flight test phase. She then streaks on into the future, entering the exciting operational phase scheduled to begin with STS-5.     The NASA insignia design for space shuttle flights is reserved for use by the astronauts and for other official use as the NASA Administrator may authorize. Public availability has been approved only in the forms of illustrations by the various news media. When and if there is any change in this policy, which is not anticipated, the change will be publicly announced. Photo credit: NASA"
https://www.nasa.gov/image-detail/amf-s82-35627/,https://images-assets.nasa.gov/image/S82-35627/S82-35627~large.jpg?w=1919&h=1919&fit=clip&crop=faces%2Cfocalpoint,OFFICIAL STS-5 CREW PATCH/INSIGNIA,"S82-35627 (20 Aug. 1982) --- This is the official crew patch for the fifth (note five points of the star) NASA Space Transportation System (STS-5) flight, scheduled for November of this year. The STS-5 flight following four successful test flights. It will call for the Columbia to be manned by four astronauts ? a space agency first. Crew members for the flights are Vance D. Brand, commander; Robert F. Overmyer, pilot; and William B. Lenoir and Joseph P. Allen, mission specialists.     The NASA insignia design for space shuttle flights is reserved for use by the astronauts and for other official use as the NASA Administrator may authorize. Public availability has been approved only in the forms of illustrations by the various news media. When and if there is any change in this policy, which is not anticipated, the change will be publicly announced. Photo credit: NASA"
https://www.nasa.gov/image-detail/amf-s82-39531/,https://images-assets.nasa.gov/image/S82-39531/S82-39531~large.jpg?w=1920&h=1767&fit=clip&crop=faces%2Cfocalpoint,Official STS-6 Crew Patch/Insignia,"S82-39531 (December 1982) --- This is the official insignia for space shuttle mission STS-6. The crew members for this mission are astronauts Paul J. Weitz, commander; Karol J. Bobko, pilot; F. Story Musgrave, mission specialist; and Donald H. Peterson, mission specialist. The sixth space shuttle flight is represented by the hexagonal shape of the insignia and the six stars, in the portrayed constellation Virgo. The sign Virgo is also symbolic of the first flight of the space shuttle Challenger. Depicted above the spacecraft?s open cargo bay is the combined Inertial Upper Stage (IUS) and a Tracking and Data Relay Satellite. This is the first shuttle flight of the IUS rocket, which will carry the first TDRS to a geosynchronous orbit of 24,000 statute miles.     The NASA insignia design for space shuttle flights is reserved for use by the astronauts and for other official use as the NASA Administrator may authorize. Public availability has been approved only in the forms of illustrations by the various news media. When and if there is any change in this policy, which is not anticipated, the change will be publicly announced. Photo credit: NASA"
