patch_url,mission_name,description,launch_date
http://www.seasky.org/space-exploration/assets/patches/Gemini-4a.png,Gemini 4,"Project Geminiwas America's second manned space program. It consisted of 10 manned missions from 1965 to 1966. The purpose of these flights was to develop and text technologies and procedures in preparation for the upcoming Apollo missions to the Moon. The first flight of project Gemini was Gemini 3. Astronauts Virgil ""Gus"" Grissom and John Young tested the maneuverability of the new spacecraft during 3 orbits. During Gemini 4, astronaut Edward White became the first American to walk outside the spacecraft. Gemini 5 featured the first use of an embroidered mission insignia on an astronaut uniform. Mission patches became standard on all future manned space flights. Other Gemini missions tested vehicle docking procedures which would be critical for the upcoming Apollo program. The Gemini program came to a close with the launch of Gemini 12 on November 11, 1966. The Gemini program paved the way for the Apollo program, which would take the first humans to the Moon.","June 3, 1965"
http://www.seasky.org/space-exploration/assets/patches/Gemini-5.png,Gemini 5,"Project Geminiwas America's second manned space program. It consisted of 10 manned missions from 1965 to 1966. The purpose of these flights was to develop and text technologies and procedures in preparation for the upcoming Apollo missions to the Moon. The first flight of project Gemini was Gemini 3. Astronauts Virgil ""Gus"" Grissom and John Young tested the maneuverability of the new spacecraft during 3 orbits. During Gemini 4, astronaut Edward White became the first American to walk outside the spacecraft. Gemini 5 featured the first use of an embroidered mission insignia on an astronaut uniform. Mission patches became standard on all future manned space flights. Other Gemini missions tested vehicle docking procedures which would be critical for the upcoming Apollo program. The Gemini program came to a close with the launch of Gemini 12 on November 11, 1966. The Gemini program paved the way for the Apollo program, which would take the first humans to the Moon.","August 21, 1965"
http://www.seasky.org/space-exploration/assets/patches/Gemini-7.png,Gemini 7,"Project Geminiwas America's second manned space program. It consisted of 10 manned missions from 1965 to 1966. The purpose of these flights was to develop and text technologies and procedures in preparation for the upcoming Apollo missions to the Moon. The first flight of project Gemini was Gemini 3. Astronauts Virgil ""Gus"" Grissom and John Young tested the maneuverability of the new spacecraft during 3 orbits. During Gemini 4, astronaut Edward White became the first American to walk outside the spacecraft. Gemini 5 featured the first use of an embroidered mission insignia on an astronaut uniform. Mission patches became standard on all future manned space flights. Other Gemini missions tested vehicle docking procedures which would be critical for the upcoming Apollo program. The Gemini program came to a close with the launch of Gemini 12 on November 11, 1966. The Gemini program paved the way for the Apollo program, which would take the first humans to the Moon.","December 4, 1965"
http://www.seasky.org/space-exploration/assets/patches/Gemini-6A.png,Gemini 6A,"Project Geminiwas America's second manned space program. It consisted of 10 manned missions from 1965 to 1966. The purpose of these flights was to develop and text technologies and procedures in preparation for the upcoming Apollo missions to the Moon. The first flight of project Gemini was Gemini 3. Astronauts Virgil ""Gus"" Grissom and John Young tested the maneuverability of the new spacecraft during 3 orbits. During Gemini 4, astronaut Edward White became the first American to walk outside the spacecraft. Gemini 5 featured the first use of an embroidered mission insignia on an astronaut uniform. Mission patches became standard on all future manned space flights. Other Gemini missions tested vehicle docking procedures which would be critical for the upcoming Apollo program. The Gemini program came to a close with the launch of Gemini 12 on November 11, 1966. The Gemini program paved the way for the Apollo program, which would take the first humans to the Moon.","December 15, 1965"
http://www.seasky.org/space-exploration/assets/patches/Gemini-8.png,Gemini 8,"Project Geminiwas America's second manned space program. It consisted of 10 manned missions from 1965 to 1966. The purpose of these flights was to develop and text technologies and procedures in preparation for the upcoming Apollo missions to the Moon. The first flight of project Gemini was Gemini 3. Astronauts Virgil ""Gus"" Grissom and John Young tested the maneuverability of the new spacecraft during 3 orbits. During Gemini 4, astronaut Edward White became the first American to walk outside the spacecraft. Gemini 5 featured the first use of an embroidered mission insignia on an astronaut uniform. Mission patches became standard on all future manned space flights. Other Gemini missions tested vehicle docking procedures which would be critical for the upcoming Apollo program. The Gemini program came to a close with the launch of Gemini 12 on November 11, 1966. The Gemini program paved the way for the Apollo program, which would take the first humans to the Moon.","March 16, 1966"
http://www.seasky.org/space-exploration/assets/patches/Gemini-9A.png,Gemini 9a,"Project Geminiwas America's second manned space program. It consisted of 10 manned missions from 1965 to 1966. The purpose of these flights was to develop and text technologies and procedures in preparation for the upcoming Apollo missions to the Moon. The first flight of project Gemini was Gemini 3. Astronauts Virgil ""Gus"" Grissom and John Young tested the maneuverability of the new spacecraft during 3 orbits. During Gemini 4, astronaut Edward White became the first American to walk outside the spacecraft. Gemini 5 featured the first use of an embroidered mission insignia on an astronaut uniform. Mission patches became standard on all future manned space flights. Other Gemini missions tested vehicle docking procedures which would be critical for the upcoming Apollo program. The Gemini program came to a close with the launch of Gemini 12 on November 11, 1966. The Gemini program paved the way for the Apollo program, which would take the first humans to the Moon.","June 3, 1966"
http://www.seasky.org/space-exploration/assets/patches/Gemini-10.png,Gemini 10,"Project Geminiwas America's second manned space program. It consisted of 10 manned missions from 1965 to 1966. The purpose of these flights was to develop and text technologies and procedures in preparation for the upcoming Apollo missions to the Moon. The first flight of project Gemini was Gemini 3. Astronauts Virgil ""Gus"" Grissom and John Young tested the maneuverability of the new spacecraft during 3 orbits. During Gemini 4, astronaut Edward White became the first American to walk outside the spacecraft. Gemini 5 featured the first use of an embroidered mission insignia on an astronaut uniform. Mission patches became standard on all future manned space flights. Other Gemini missions tested vehicle docking procedures which would be critical for the upcoming Apollo program. The Gemini program came to a close with the launch of Gemini 12 on November 11, 1966. The Gemini program paved the way for the Apollo program, which would take the first humans to the Moon.","July 18, 1966"
http://www.seasky.org/space-exploration/assets/patches/Gemini-11.png,Gemini 11,"Project Geminiwas America's second manned space program. It consisted of 10 manned missions from 1965 to 1966. The purpose of these flights was to develop and text technologies and procedures in preparation for the upcoming Apollo missions to the Moon. The first flight of project Gemini was Gemini 3. Astronauts Virgil ""Gus"" Grissom and John Young tested the maneuverability of the new spacecraft during 3 orbits. During Gemini 4, astronaut Edward White became the first American to walk outside the spacecraft. Gemini 5 featured the first use of an embroidered mission insignia on an astronaut uniform. Mission patches became standard on all future manned space flights. Other Gemini missions tested vehicle docking procedures which would be critical for the upcoming Apollo program. The Gemini program came to a close with the launch of Gemini 12 on November 11, 1966. The Gemini program paved the way for the Apollo program, which would take the first humans to the Moon.","September 12, 1966"
http://www.seasky.org/space-exploration/assets/patches/Gemini-12.png,Gemini 12,"Project Geminiwas America's second manned space program. It consisted of 10 manned missions from 1965 to 1966. The purpose of these flights was to develop and text technologies and procedures in preparation for the upcoming Apollo missions to the Moon. The first flight of project Gemini was Gemini 3. Astronauts Virgil ""Gus"" Grissom and John Young tested the maneuverability of the new spacecraft during 3 orbits. During Gemini 4, astronaut Edward White became the first American to walk outside the spacecraft. Gemini 5 featured the first use of an embroidered mission insignia on an astronaut uniform. Mission patches became standard on all future manned space flights. Other Gemini missions tested vehicle docking procedures which would be critical for the upcoming Apollo program. The Gemini program came to a close with the launch of Gemini 12 on November 11, 1966. The Gemini program paved the way for the Apollo program, which would take the first humans to the Moon.","November 11, 1966"
http://www.seasky.org/space-exploration/assets/patches/Gemini.png,Project Gemini,"Project Geminiwas America's second manned space program. It consisted of 10 manned missions from 1965 to 1966. The purpose of these flights was to develop and text technologies and procedures in preparation for the upcoming Apollo missions to the Moon. The first flight of project Gemini was Gemini 3. Astronauts Virgil ""Gus"" Grissom and John Young tested the maneuverability of the new spacecraft during 3 orbits. During Gemini 4, astronaut Edward White became the first American to walk outside the spacecraft. Gemini 5 featured the first use of an embroidered mission insignia on an astronaut uniform. Mission patches became standard on all future manned space flights. Other Gemini missions tested vehicle docking procedures which would be critical for the upcoming Apollo program. The Gemini program came to a close with the launch of Gemini 12 on November 11, 1966. The Gemini program paved the way for the Apollo program, which would take the first humans to the Moon.",
http://www.seasky.org/space-exploration/assets/patches/Apollo-1.png,Apollo 1,"Project Apollowas America's third manned space program. It consisted of 12 manned mission from 1967 to 1972. The program began on a tragic note as a fire claimed the lives of 3 astronauts during a pre-launch test of the Apollo 1 spacecraft on the launch pad. Apollo 8 became the first manned flight to the Moon. The highlight of the program was the historic Moon landing of Apollo 11. On July 21, 1969, the entire world watched as Astronaut Neil Armstrong became the first person to step onto the surface of the Moon. Tragedy struck again nearly a year later as an oxygen tank explosion crippled the spacecraft. Fortunately the crew survived and returned safely to Earth, but their Moon landing has to be sacrificed. A total of 6 missions landed successfully on the Moon, ending with Apollo 17 on December 11, 1972. A few years later, an Apollo launch vehicle was used for the historic docking of an American and Russian spacecraft during the Apollo-Soyuz mission. The Apollo program was an incredible success for the American space program, bringing us one step close to exploring the planets.",
http://www.seasky.org/space-exploration/assets/patches/Apollo-7.png,Apollo 7,"Project Apollowas America's third manned space program. It consisted of 12 manned mission from 1967 to 1972. The program began on a tragic note as a fire claimed the lives of 3 astronauts during a pre-launch test of the Apollo 1 spacecraft on the launch pad. Apollo 8 became the first manned flight to the Moon. The highlight of the program was the historic Moon landing of Apollo 11. On July 21, 1969, the entire world watched as Astronaut Neil Armstrong became the first person to step onto the surface of the Moon. Tragedy struck again nearly a year later as an oxygen tank explosion crippled the spacecraft. Fortunately the crew survived and returned safely to Earth, but their Moon landing has to be sacrificed. A total of 6 missions landed successfully on the Moon, ending with Apollo 17 on December 11, 1972. A few years later, an Apollo launch vehicle was used for the historic docking of an American and Russian spacecraft during the Apollo-Soyuz mission. The Apollo program was an incredible success for the American space program, bringing us one step close to exploring the planets.","October 11, 1968"
http://www.seasky.org/space-exploration/assets/patches/Apollo-8.png,Apollo 8,"Project Apollowas America's third manned space program. It consisted of 12 manned mission from 1967 to 1972. The program began on a tragic note as a fire claimed the lives of 3 astronauts during a pre-launch test of the Apollo 1 spacecraft on the launch pad. Apollo 8 became the first manned flight to the Moon. The highlight of the program was the historic Moon landing of Apollo 11. On July 21, 1969, the entire world watched as Astronaut Neil Armstrong became the first person to step onto the surface of the Moon. Tragedy struck again nearly a year later as an oxygen tank explosion crippled the spacecraft. Fortunately the crew survived and returned safely to Earth, but their Moon landing has to be sacrificed. A total of 6 missions landed successfully on the Moon, ending with Apollo 17 on December 11, 1972. A few years later, an Apollo launch vehicle was used for the historic docking of an American and Russian spacecraft during the Apollo-Soyuz mission. The Apollo program was an incredible success for the American space program, bringing us one step close to exploring the planets.","December 21, 1968"
http://www.seasky.org/space-exploration/assets/patches/Apollo-9.png,Apollo 9,"Project Apollowas America's third manned space program. It consisted of 12 manned mission from 1967 to 1972. The program began on a tragic note as a fire claimed the lives of 3 astronauts during a pre-launch test of the Apollo 1 spacecraft on the launch pad. Apollo 8 became the first manned flight to the Moon. The highlight of the program was the historic Moon landing of Apollo 11. On July 21, 1969, the entire world watched as Astronaut Neil Armstrong became the first person to step onto the surface of the Moon. Tragedy struck again nearly a year later as an oxygen tank explosion crippled the spacecraft. Fortunately the crew survived and returned safely to Earth, but their Moon landing has to be sacrificed. A total of 6 missions landed successfully on the Moon, ending with Apollo 17 on December 11, 1972. A few years later, an Apollo launch vehicle was used for the historic docking of an American and Russian spacecraft during the Apollo-Soyuz mission. The Apollo program was an incredible success for the American space program, bringing us one step close to exploring the planets.","March 3, 1969"
http://www.seasky.org/space-exploration/assets/patches/Apollo-10.png,Apollo 10,"Project Apollowas America's third manned space program. It consisted of 12 manned mission from 1967 to 1972. The program began on a tragic note as a fire claimed the lives of 3 astronauts during a pre-launch test of the Apollo 1 spacecraft on the launch pad. Apollo 8 became the first manned flight to the Moon. The highlight of the program was the historic Moon landing of Apollo 11. On July 21, 1969, the entire world watched as Astronaut Neil Armstrong became the first person to step onto the surface of the Moon. Tragedy struck again nearly a year later as an oxygen tank explosion crippled the spacecraft. Fortunately the crew survived and returned safely to Earth, but their Moon landing has to be sacrificed. A total of 6 missions landed successfully on the Moon, ending with Apollo 17 on December 11, 1972. A few years later, an Apollo launch vehicle was used for the historic docking of an American and Russian spacecraft during the Apollo-Soyuz mission. The Apollo program was an incredible success for the American space program, bringing us one step close to exploring the planets.","May 18, 1969"
http://www.seasky.org/space-exploration/assets/patches/Apollo-11.png,Apollo 11,"Project Apollowas America's third manned space program. It consisted of 12 manned mission from 1967 to 1972. The program began on a tragic note as a fire claimed the lives of 3 astronauts during a pre-launch test of the Apollo 1 spacecraft on the launch pad. Apollo 8 became the first manned flight to the Moon. The highlight of the program was the historic Moon landing of Apollo 11. On July 21, 1969, the entire world watched as Astronaut Neil Armstrong became the first person to step onto the surface of the Moon. Tragedy struck again nearly a year later as an oxygen tank explosion crippled the spacecraft. Fortunately the crew survived and returned safely to Earth, but their Moon landing has to be sacrificed. A total of 6 missions landed successfully on the Moon, ending with Apollo 17 on December 11, 1972. A few years later, an Apollo launch vehicle was used for the historic docking of an American and Russian spacecraft during the Apollo-Soyuz mission. The Apollo program was an incredible success for the American space program, bringing us one step close to exploring the planets.","July 16, 1969"
http://www.seasky.org/space-exploration/assets/patches/Apollo-12.png,Apollo 12,"Project Apollowas America's third manned space program. It consisted of 12 manned mission from 1967 to 1972. The program began on a tragic note as a fire claimed the lives of 3 astronauts during a pre-launch test of the Apollo 1 spacecraft on the launch pad. Apollo 8 became the first manned flight to the Moon. The highlight of the program was the historic Moon landing of Apollo 11. On July 21, 1969, the entire world watched as Astronaut Neil Armstrong became the first person to step onto the surface of the Moon. Tragedy struck again nearly a year later as an oxygen tank explosion crippled the spacecraft. Fortunately the crew survived and returned safely to Earth, but their Moon landing has to be sacrificed. A total of 6 missions landed successfully on the Moon, ending with Apollo 17 on December 11, 1972. A few years later, an Apollo launch vehicle was used for the historic docking of an American and Russian spacecraft during the Apollo-Soyuz mission. The Apollo program was an incredible success for the American space program, bringing us one step close to exploring the planets.","November 14, 1969"
http://www.seasky.org/space-exploration/assets/patches/Apollo-13.png,Apollo 13,"Project Apollowas America's third manned space program. It consisted of 12 manned mission from 1967 to 1972. The program began on a tragic note as a fire claimed the lives of 3 astronauts during a pre-launch test of the Apollo 1 spacecraft on the launch pad. Apollo 8 became the first manned flight to the Moon. The highlight of the program was the historic Moon landing of Apollo 11. On July 21, 1969, the entire world watched as Astronaut Neil Armstrong became the first person to step onto the surface of the Moon. Tragedy struck again nearly a year later as an oxygen tank explosion crippled the spacecraft. Fortunately the crew survived and returned safely to Earth, but their Moon landing has to be sacrificed. A total of 6 missions landed successfully on the Moon, ending with Apollo 17 on December 11, 1972. A few years later, an Apollo launch vehicle was used for the historic docking of an American and Russian spacecraft during the Apollo-Soyuz mission. The Apollo program was an incredible success for the American space program, bringing us one step close to exploring the planets.","April 11, 1970"
http://www.seasky.org/space-exploration/assets/patches/Apollo-14.png,Apollo 14,"Project Apollowas America's third manned space program. It consisted of 12 manned mission from 1967 to 1972. The program began on a tragic note as a fire claimed the lives of 3 astronauts during a pre-launch test of the Apollo 1 spacecraft on the launch pad. Apollo 8 became the first manned flight to the Moon. The highlight of the program was the historic Moon landing of Apollo 11. On July 21, 1969, the entire world watched as Astronaut Neil Armstrong became the first person to step onto the surface of the Moon. Tragedy struck again nearly a year later as an oxygen tank explosion crippled the spacecraft. Fortunately the crew survived and returned safely to Earth, but their Moon landing has to be sacrificed. A total of 6 missions landed successfully on the Moon, ending with Apollo 17 on December 11, 1972. A few years later, an Apollo launch vehicle was used for the historic docking of an American and Russian spacecraft during the Apollo-Soyuz mission. The Apollo program was an incredible success for the American space program, bringing us one step close to exploring the planets.","January 31, 1971"
http://www.seasky.org/space-exploration/assets/patches/Apollo-15.png,Apollo 15,"Project Apollowas America's third manned space program. It consisted of 12 manned mission from 1967 to 1972. The program began on a tragic note as a fire claimed the lives of 3 astronauts during a pre-launch test of the Apollo 1 spacecraft on the launch pad. Apollo 8 became the first manned flight to the Moon. The highlight of the program was the historic Moon landing of Apollo 11. On July 21, 1969, the entire world watched as Astronaut Neil Armstrong became the first person to step onto the surface of the Moon. Tragedy struck again nearly a year later as an oxygen tank explosion crippled the spacecraft. Fortunately the crew survived and returned safely to Earth, but their Moon landing has to be sacrificed. A total of 6 missions landed successfully on the Moon, ending with Apollo 17 on December 11, 1972. A few years later, an Apollo launch vehicle was used for the historic docking of an American and Russian spacecraft during the Apollo-Soyuz mission. The Apollo program was an incredible success for the American space program, bringing us one step close to exploring the planets.","July 26, 1971"
http://www.seasky.org/space-exploration/assets/patches/Apollo-16.png,Apollo 16,"Project Apollowas America's third manned space program. It consisted of 12 manned mission from 1967 to 1972. The program began on a tragic note as a fire claimed the lives of 3 astronauts during a pre-launch test of the Apollo 1 spacecraft on the launch pad. Apollo 8 became the first manned flight to the Moon. The highlight of the program was the historic Moon landing of Apollo 11. On July 21, 1969, the entire world watched as Astronaut Neil Armstrong became the first person to step onto the surface of the Moon. Tragedy struck again nearly a year later as an oxygen tank explosion crippled the spacecraft. Fortunately the crew survived and returned safely to Earth, but their Moon landing has to be sacrificed. A total of 6 missions landed successfully on the Moon, ending with Apollo 17 on December 11, 1972. A few years later, an Apollo launch vehicle was used for the historic docking of an American and Russian spacecraft during the Apollo-Soyuz mission. The Apollo program was an incredible success for the American space program, bringing us one step close to exploring the planets.","April 16, 1972"
http://www.seasky.org/space-exploration/assets/patches/Apollo-17.png,Apollo 17,"Project Apollowas America's third manned space program. It consisted of 12 manned mission from 1967 to 1972. The program began on a tragic note as a fire claimed the lives of 3 astronauts during a pre-launch test of the Apollo 1 spacecraft on the launch pad. Apollo 8 became the first manned flight to the Moon. The highlight of the program was the historic Moon landing of Apollo 11. On July 21, 1969, the entire world watched as Astronaut Neil Armstrong became the first person to step onto the surface of the Moon. Tragedy struck again nearly a year later as an oxygen tank explosion crippled the spacecraft. Fortunately the crew survived and returned safely to Earth, but their Moon landing has to be sacrificed. A total of 6 missions landed successfully on the Moon, ending with Apollo 17 on December 11, 1972. A few years later, an Apollo launch vehicle was used for the historic docking of an American and Russian spacecraft during the Apollo-Soyuz mission. The Apollo program was an incredible success for the American space program, bringing us one step close to exploring the planets.","December 7, 1972"
http://www.seasky.org/space-exploration/assets/patches/Apollo.png,Project Apollo,"Project Apollowas America's third manned space program. It consisted of 12 manned mission from 1967 to 1972. The program began on a tragic note as a fire claimed the lives of 3 astronauts during a pre-launch test of the Apollo 1 spacecraft on the launch pad. Apollo 8 became the first manned flight to the Moon. The highlight of the program was the historic Moon landing of Apollo 11. On July 21, 1969, the entire world watched as Astronaut Neil Armstrong became the first person to step onto the surface of the Moon. Tragedy struck again nearly a year later as an oxygen tank explosion crippled the spacecraft. Fortunately the crew survived and returned safely to Earth, but their Moon landing has to be sacrificed. A total of 6 missions landed successfully on the Moon, ending with Apollo 17 on December 11, 1972. A few years later, an Apollo launch vehicle was used for the historic docking of an American and Russian spacecraft during the Apollo-Soyuz mission. The Apollo program was an incredible success for the American space program, bringing us one step close to exploring the planets.",
http://www.seasky.org/space-exploration/assets/patches/Apollo-Soyuz-1.png,Apollo-Soyuz 1,"Project Apollowas America's third manned space program. It consisted of 12 manned mission from 1967 to 1972. The program began on a tragic note as a fire claimed the lives of 3 astronauts during a pre-launch test of the Apollo 1 spacecraft on the launch pad. Apollo 8 became the first manned flight to the Moon. The highlight of the program was the historic Moon landing of Apollo 11. On July 21, 1969, the entire world watched as Astronaut Neil Armstrong became the first person to step onto the surface of the Moon. Tragedy struck again nearly a year later as an oxygen tank explosion crippled the spacecraft. Fortunately the crew survived and returned safely to Earth, but their Moon landing has to be sacrificed. A total of 6 missions landed successfully on the Moon, ending with Apollo 17 on December 11, 1972. A few years later, an Apollo launch vehicle was used for the historic docking of an American and Russian spacecraft during the Apollo-Soyuz mission. The Apollo program was an incredible success for the American space program, bringing us one step close to exploring the planets.","July 15, 1975"
http://www.seasky.org/space-exploration/assets/patches/Apollo-Soyuz.png,Apollo-Soyuz,"Project Apollowas America's third manned space program. It consisted of 12 manned mission from 1967 to 1972. The program began on a tragic note as a fire claimed the lives of 3 astronauts during a pre-launch test of the Apollo 1 spacecraft on the launch pad. Apollo 8 became the first manned flight to the Moon. The highlight of the program was the historic Moon landing of Apollo 11. On July 21, 1969, the entire world watched as Astronaut Neil Armstrong became the first person to step onto the surface of the Moon. Tragedy struck again nearly a year later as an oxygen tank explosion crippled the spacecraft. Fortunately the crew survived and returned safely to Earth, but their Moon landing has to be sacrificed. A total of 6 missions landed successfully on the Moon, ending with Apollo 17 on December 11, 1972. A few years later, an Apollo launch vehicle was used for the historic docking of an American and Russian spacecraft during the Apollo-Soyuz mission. The Apollo program was an incredible success for the American space program, bringing us one step close to exploring the planets.",
http://www.seasky.org/space-exploration/assets/patches/Skylab-1.png,SL-1 Skylab Station,"Project Skylab was America's first working space station. Skylab station orbited the Earth from 1973 to 1979, and included a workshop, a solar observatory, and other scientific systems. The station was launched into orbit on May 14, 1973 aboard mission SL-1. The first crew arrived nearly two weeks later during mission SLM-1. They remained aboard the station for 28 days, which set a new record for American space endurance. During their missions aboard Skylab, astronauts performed a number of unique experiments including solar research. The Skylab missions came to and end when the crew of SLM-3 returned to Earth on February 8, 1974. NASA had plans to use Skylab with the space shuttle, but the shuttle program was delayed. This lack of support eventually doomed the station. On July 11, 1979, Skylab station re-entered the Earth's atmosphere. NASA tried to land the station in the ocean south of Africa, but it burned slower than expected and Its remains crash landed in western Australia.","May 14, 1973"
